LB,32666,0,L,LogList01,20250222T085942.388Z,20250222T090003.372Z
LC
20250222T085942.388Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"Command",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085942.390Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"Command",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085942.390Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"Command",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085942.390Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"Command",,0,20250222T085942.388Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085942.393Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"Light on",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085942.393Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"Light on",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085942.394Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"Light on",,0,20250222T085942.387Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085942.394Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.ON,"Light on",,0,20250222T085942.388Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085943.399Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"Command",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085943.399Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"Command",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085943.400Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"Command",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085943.400Z,1,64, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"Command",,0,20250222T085943.400Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085943.404Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"Light on",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085943.404Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"Light on",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085943.404Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"Light on",,0,20250222T085943.399Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085943.404Z,1,64, ,,BUILDING.FLOOR_02.ROOM_002.LT.ON,"Light on",,0,20250222T085943.400Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085944.454Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"Command",,0,20250222T085944.422Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085944.454Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"Command",,0,20250222T085944.422Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
20250222T085944.454Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"Command",,0,20250222T085944.422Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085944.454Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"Command",,0,20250222T085944.423Z,0,"                                        ","#@A1,#@A2","FLOOR_02","LIGHTING"
20250222T085944.454Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"Light on",,0,20250222T085944.422Z,0,"                                        ","#@A1,#@A2","FLOOR_01","LIGHTING"
