LB,32675,0,L,LogList01,20250222T100843.620Z,20250222T100908.531Z
LC
20250222T100843.620Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"",,0,20250222T100843.620Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"",,0,20250222T100843.621Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"",,0,20250222T100843.621Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"",,0,20250222T100843.621Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,4096, ,,BUILDING.FLOOR_01.ROOM_001.AC.TEMP_haut,"", (25.00),768,20250222T100843.621Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,4096, ,,BUILDING.FLOOR_02.ROOM_002.AC.TEMP_haut,"", (25.00),768,20250222T100843.622Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"",,0,20250222T100843.623Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"",,0,20250222T100843.623Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"",,0,20250222T100843.623Z,0,"                                        ","#@A1,#@A2",,
20250222T100843.623Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.ON,"",,0,20250222T100843.623Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.637Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"",,0,20250222T100844.637Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.637Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"",,0,20250222T100844.637Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"",,0,20250222T100844.637Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"",,0,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,4096, ,,BUILDING.FLOOR_01.ROOM_002.AC.TEMP_haut,"", (25.00),768,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"",,0,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"",,0,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"",,0,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100844.638Z,1,64, ,,BUILDING.FLOOR_02.ROOM_002.LT.ON,"",,0,20250222T100844.638Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.659Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"",,0,20250222T100845.659Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.660Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"",,0,20250222T100845.659Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.660Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"",,0,20250222T100845.660Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.660Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"",,0,20250222T100845.660Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.661Z,1,512, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"",,0,20250222T100845.661Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.661Z,1,512, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"",,0,20250222T100845.661Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.661Z,1,512, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"",,0,20250222T100845.661Z,0,"                                        ","#@A1,#@A2",,
20250222T100845.661Z,1,512, ,,BUILDING.FLOOR_02.ROOM_002.LT.ON,"",,0,20250222T100845.661Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.660Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.CMD,"",,0,20250222T100846.660Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.660Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.CMD,"",,0,20250222T100846.660Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.662Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.CMD,"",,0,20250222T100846.660Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.662Z,1,64, ,,BUILDING.FLOOR_02.ROOM_002.LT.CMD,"",,0,20250222T100846.662Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.662Z,1,64, ,,BUILDING.FLOOR_01.ROOM_001.LT.ON,"",,0,20250222T100846.662Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.662Z,1,64, ,,BUILDING.FLOOR_01.ROOM_002.LT.ON,"",,0,20250222T100846.662Z,0,"                                        ","#@A1,#@A2",,
20250222T100846.662Z,1,64, ,,BUILDING.FLOOR_02.ROOM_001.LT.ON,"",,0,20250222T100846.662Z,0,"                                        ","#@A1,#@A2",,
