LB,00289,0,T,System.Localhost.Mimic.OpenCount,20250222T092400.000Z,20250222T093232.479Z
TR,System.Localhost.Mimic.OpenCount,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,1,192
20250222T092800.000Z,3,192
20250222T092900.000Z,2,192
20250222T093000.000Z,1,192
20250222T093232.479Z,0,64
LB,00505,0,T,System.Localhost.resource.FreeVirtualMemory,20250222T092400.000Z,20250222T093232.480Z
TR,System.Localhost.resource.FreeVirtualMemory,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,3490224,192
20250222T092500.000Z,3494064,192
20250222T092600.000Z,3494064,192
20250222T092700.000Z,3480840,192
20250222T092800.000Z,3481732,192
20250222T092900.000Z,3479492,192
20250222T093000.000Z,3434268,192
20250222T093100.000Z,3419180,192
20250222T093200.000Z,3420460,192
20250222T093232.480Z,0,64
LB,00388,0,T,System.Localhost.resource.GDI,20250222T092400.000Z,20250222T093232.482Z
TR,System.Localhost.resource.GDI,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,1282,192
20250222T092700.000Z,1374,192
20250222T092800.000Z,1517,192
20250222T092900.000Z,1506,192
20250222T093000.000Z,1567,192
20250222T093100.000Z,1603,192
20250222T093200.000Z,1603,192
20250222T093232.482Z,0,64
LB,00458,0,T,System.Localhost.resource.Handles,20250222T092400.000Z,20250222T093232.483Z
TR,System.Localhost.resource.Handles,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,1674,192
20250222T092500.000Z,1670,192
20250222T092600.000Z,1661,192
20250222T092700.000Z,1682,192
20250222T092800.000Z,1685,192
20250222T092900.000Z,1701,192
20250222T093000.000Z,1702,192
20250222T093100.000Z,1704,192
20250222T093200.000Z,1713,192
20250222T093232.483Z,0,64
LB,00484,0,T,System.Localhost.resource.MemoryUsage,20250222T092400.000Z,20250222T093232.484Z
TR,System.Localhost.resource.MemoryUsage,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,134676,192
20250222T092500.000Z,135352,192
20250222T092600.000Z,134632,192
20250222T092700.000Z,140328,192
20250222T092800.000Z,140732,192
20250222T092900.000Z,136528,192
20250222T093000.000Z,139840,192
20250222T093100.000Z,145972,192
20250222T093200.000Z,146784,192
20250222T093232.484Z,0,64
LB,00258,0,T,System.Localhost.resource.RAM,20250222T092400.000Z,20250222T093232.486Z
TR,System.Localhost.resource.RAM,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,67,192
20250222T092700.000Z,67,192
20250222T092800.000Z,66,192
20250222T093232.486Z,0,64
LB,00324,0,T,System.Localhost.resource.Threads,20250222T092400.000Z,20250222T093232.488Z
TR,System.Localhost.resource.Threads,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,30,192
20250222T092500.000Z,47,192
20250222T092600.000Z,46,192
20250222T092900.000Z,48,192
20250222T093100.000Z,47,192
20250222T093232.488Z,0,64
LB,00413,0,T,System.Localhost.resource.User,20250222T092400.000Z,20250222T093232.489Z
TR,System.Localhost.resource.User,0,4294967295,1,1,,0,0,2
20250222T092400.000Z,473,192
20250222T092600.000Z,472,192
20250222T092700.000Z,525,192
20250222T092800.000Z,655,192
20250222T092900.000Z,638,192
20250222T093000.000Z,612,192
20250222T093100.000Z,626,192
20250222T093200.000Z,615,192
20250222T093232.489Z,0,64
